Title,Distr,TMDB Movie ID,Genre 1,Genre 2,Popularity,Runtime (minutes),Average Vote (/10),Overview,Tagline,Poster Path
Hart's War,Fox,10592,Drama,War,14.733,125,6.3,"Fourth-generation Army Col. William McNamara is imprisoned in a brutal German POW camp. Still, as the senior-ranking American officer, he commands his fellow inmates, keeping a sense of honor alive in a place where honor is easy to destroy, all under the dangerous eye of the Luftwafe vetran Col. Wilhelm Visser. Never giving up the fight to win the war, McNamara is silently planning, waiting for his moment to strike back at the enemy. A murder in the camp gives him the chance to set a risky plan in motion. With a court martial to keep Visser and the Germans distracted, McNamara orchestrates a cunning scheme to escape and destroy a nearby munitions plant, enlisting the unwitting help of young Lt. Tommy Hart. Together with his men, McNamara uses a hero's resolve to carry out his mission, ultimately forced to weigh the value of his life against the good of his country.","Beyond Courage, Beyond Honor.",/yRUhSU7vzs5ePa72LNPcKKCCMZ5.jpg
40 Days and 40 Nights,UIP,2752,Comedy,Romance,12.575,94,5.5,"Matt Sullivan's last big relationship ended in disaster and ever since his heart's been aching and his commitment's been lacking. Then came Lent, that time of year when everybody gives something up. That's when Matt decides to go where no man's gone before and make a vow: No sex. Whatsoever. For 40 straight days. At first he has everything under control. That is until the woman of his dreams, Erica, walks into his life.",Easier said than done.,/8bs30y2UzytXglgG6SLpP3N920J.jpg
The Time Machine,Warner,2135,Science Fiction,Adventure,26.793,96,6.2,"Hoping to alter the events of the past, a 19th century inventor instead travels 800,000 years into the future, where he finds mankind divided into two warring races.",The greatest adventure THROUGH all time!,/9QB6wIc6XOtoi02uUCLSvY0onSL.jpg
Snow Dogs,BVI,11888,Comedy,Family,21.218,99,5.7,"When a Miami dentist inherits a team of sled dogs, he's got to learn the trade or lose his pack to a crusty mountain man.",Get ready for mush hour!,/8DDC6z1XyLSiNLzKw1pXcYeAOJ3.jpg
Unfaithful,Fox,2251,Thriller,Drama,38.845,124,6.6,"Connie is a wife and mother whose 11-year marriage to Edward has lost its sexual spark. When Connie literally runs into handsome book collector Paul, he sweeps her into an all-consuming affair. But Edward soon becomes suspicious and decides to confront the other man.",Where do you go when you've gone too far?,/bjiHEhuiwhIygzjczbTPAA07cGc.jpg
Monster's Ball,Entm't,1365,Drama,Romance,15.483,113,6.7,"Set in the southern USA, a racist white man, Hank, falls in love with a black woman named Leticia. Ironically, Hank is a prison guard working on Death Row who executed Leticia's husband. Hank and Leticia's inter-racial affair leads to confusion and new ideas for the two unlikely lovers.",A lifetime of change can happen in a single moment.,/s7o0AyOFIYNjTe008pV6EZMI2IP.jpg
Dragonfly,BVI,10052,Thriller,Fantasy,19.053,104,6.5,A grieving doctor is being contacted by his late wife through his patient's near death experiences.,When someone you love dies... are they gone forever?,/oMRyQniB5ESA4DoyJVLVJifSExB.jpg
Mere Yaar Ki Shaadi Hai,Yash Raj,139656,Comedy,Romance,2.458,158,5.8,"Sanjay and Anjali are childhood chums . When Sanjay's roommate Ria questions him whether he has fallen for Anjali he vehemently denies . But the truth that he indeed loves her hits him like a ton of bricks when Sanjana calls him to tell that she is getting married to Rohit. Sanjay wants to win Anjali's heart at any cost and sets off on his ""noble"" cause of stopping the marriage.",,/26fFnoLCuA5vzEGQsmLbNYBiI8J.jpg
Impostor,Metrodome,4965,Action,Science Fiction,10.367,102,6.1,A top-secret government weapons designer is arrested by a clandestine government organization on suspicion of being a clone created by the hostile alien race wanting to take over Earth.,"In the Future, not everyone is who they seem to be.",/7Uy4JbalP0mEyKnFW2IorQDmbBa.jpg
Big Fat Liar,UIP,11870,Family,Comedy,21.984,88,5.8,"Fourteen-year-old Jason Shepherd has a reputation for stretching the truth. So, when big-time Hollywood producer Marty Wolf steals his class paper and turns it into a smash hit movie, no one believes Jason's latest tall tale! On a cross-country adventure to set the record straight, Jason and best friend Kaylee devise a high-tech plan to squeeze the truth out of Wolf through a series of outrageous pranks, crazy stunts and big laughs. It's payback time!",,/k1MkctTLNWthU2AUlX4qOCNBlPc.jpg
Birthday Girl,Film Four,2084,Comedy,Crime,12.17,93,5.9,"A shy bank clerk orders a Russian mail order bride, and finds his life turned upside down.",Be careful what you wish for,/bEuzg0HtCrdLQW4xk8KdVpQvgdV.jpg
Rollerball,Col/Tri,11484,Action,Science Fiction,13.348,125,6.2,"In a corporate-controlled future, an ultra-violent sport known as Rollerball represents the world, and one of its powerful athletes is out to defy those who want him out of the game.","In the not-too-distant future, wars will no longer exist. But there WILL be...The Game",/axtm6kuubdxaEUWOvv5vJACo8eV.jpg
